,word,phonetic,translation
258,ultra,'ʌltrә,"a. 过分的, 极端的
n. 极端主义者, 过激论者, 急进论者"
259,even,'i:vәn,"a. 平坦的, 相等的, 连贯的, 均等的, 公平的, 偶数的, 平均的, 平衡的, 恰好的
vt. 使平坦, 使相等
vi. 变平, 成为相等
adv. 甚至, 实际上, 完全, 十分
n. 偶数, 偶校验
[计] 偶数, 偶校验"
260,present,'preznt,"n. 现在, 礼品, 瞄准
a. 现在的, 出席的
vt. 介绍, 引见, 赠送, 提出, 呈现, 上演
vi. 举枪瞄准"
261,potential,pә'tenʃәl,"n. 潜在性, 可能性, 潜力, 潜能, 势, 位
a. 有潜力的, 可能的, 潜在的"
262,much,mʌtʃ,"n. 大量, 许多, 重要的事
a. 很多的, 重要的
adv. 多, 甚, 几乎"
263,material,mә'tiәriәl,"n. 材料, 物资, 素材, 布料, 资料
a. 物质的, 肉体的, 重要的"
264,several,'sevәrәl,"a. 几个的, 一些的, 各自的
pron. 几个"
265,diameter,dai'æmitә,"n. 直径
[医] 直经, 径"
266,thick,θik,"a. 厚的, 粗壮的, 浓的, 迟钝的, 浑浊的, 多雾的, 过分的, 口齿不清的
adv. 厚地, 密地, 浓浓地
n. 最浓处, 最厚处, 最密集处
[计] 暗, 粗线"
267,gamma,'^æmә,"n. 希腊语的第三个字母(Γ,γ)
[医] γ(希腊文第三个字母), 丙种, 微克(千分之一毫克)"
268,soft,sɒft,"a. 软的, 温和的, 柔和的, 柔滑的, 温柔的, 软弱的, 坡度小的, 笨的, 纸币的
n. 柔软的东西, 笨人, 纸币
adv. 柔软地, 温和地"
269,set,set,"n. 日落, 同伙, 组合, 集合, 装置
vt. 放, 安置, 放置, 设定, 使凝结, 点燃, 确定, 点缀, 使就位, 树立, 分配, 调整
vi. 日落, 凝固, 定型, 搁住, 结果, 适合
a. 决心的, 规定的, 故意的, 持久的, 固定的, 老套的, 准备好的
[计] 设置; DOS内部命令:改变或显示分配给环境变量的值"
270,before,bi'fɒ:,"prep. 在...之前
conj. 在...之前
adv. 在前"
271,possible,'pɒsәbl,"a. 可能的, 潜在的, 合适的
n. 可能性, 可能的事物"
272,without,wi'ðaut,"prep. 没有, 不, 在...之外
adv. 在外面, 户外
n. 外面, 外部"
273,further,'fә:ðә,"a. 更远的, 此外的, 更多的
vt. 促进, 增进, 助长
adv. 更进一步地, 更远地, 此外"
274,he,hi:,"pron. 他
n. 男孩, 男人, 雄性动物"
275,accelerator,әk'selәreitә,"n. 加速剂, 加速器, 油门
[化] 加速器; 早强剂; 促进剂; 硫化促进剂"
276,method,'meθәd,"n. 方法, 办法, 条理, 秩序
[医] [方]法"
277,code,kәud,"n. 代码, 密码, 法规, 法典
vt. 把...编码
[计] 代码"
278,dynamics,dai'næmiks,"n. 动力学
[化] 动力学"
279,signal,'signl,"n. 信号, 暗号, 近因, 导火线
vt. 向...作信号, 标志, 用信号通知
vi. 发信号
a. 作为信号的, 显著的
[计] 信号"
280,limited,'limitid,"a. 有限制的, 有限的, 有限责任的
n. 特别快车"
281,linear,'liniә,"a. 线的, 直线的, 线状的
[计] 线性"
282,distance,'distәns,"n. 距离, 远方, 遥远
[计] 位距"
283,width,widθ,"n. 宽度, 宽广, 广博
[医] 宽度"
284,polarized,'pəʊləraɪzd,v. 使分化为不同的看法( polarize的过去式和过去分词 )
285,study,'stʌdi,"n. 学习, 研究, 学科, 论文, 求学, 书房, 试作
vt. 学习, 读书, 研究, 考虑, 计划
vi. 学习, 思索"
286,detector,di'tektә,"n. 发现者, 检验器, 检波器
[计] 检波器; 检测器"
287,scaling,'skeiliŋ,"n. 鱼鳞, 鳞片排列, 去鳞, 鳞片剥落, 攀登进攻, 按比例测量, 按比例缩放
[计] 缩放比例"
288,around,ә'raund,"prep. 包围, 在...周围, 四处
adv. 兜着圈子, 在附近, 到处"
289,point,pɒint,"n. 点, 小数点, 标点, 地点, 要点, 特点, 尖端, 分数, 得分, 穴位
vt. 弄尖, 强调, 指出, 加标点于, 瞄准
vi. 指, 指向, 表明"
290,momentum,mәu'mentәm,"n. 动力, 动量
[化] 动量"
291,reflected,ri'flektid,a. 反射的；得自他人的
292,table,'teibl,"n. 桌子, 餐桌, 工作台, 铭文, 表格, 表, 高原, 平地层
vt. 搁置, 嵌合, 制表, 把...列入议事日程
[计] 表格, 模拟运算表"
293,some,sʌm,"pron. 一些, 一部分, 若干
adv. 大约
a. 一些的, 少许的, 某一的"
294,pressure,'preʃә,"n. 压, 榨, 按, 强制, 压力, 压迫, 压强
vt. 迫使, 使增压, 密封"
295,scheme,ski:m,"n. 方案, 计划, 组合, 系统, 图解, 诡计, 阴谋
v. 计划, 设计, 图谋, 策划"
296,published,,a. 已发布的
297,channel,'tʃænәl,"n. 海峡, 航道, 频道
vt. 引导, 在...上挖沟, 形成河道
[计] 信道, 通道"
298,setup,'setʌp,"n. 装备, 组织, 计划, 机构, 调整, 设置
[计] 设置"
299,important,im'pɒ:tәnt,"a. 重要的, 有地位的, 大量的, 显要的, 自负的
[计] 要点"
300,conversion,kәn'vә:ʃәn,"n. 转变, 转换, 改变宗教信仰, 换位法
[计] 转换"
301,equation,i'kweiʃәn,"n. 相等, 等式, 平衡
[化] 方程式; 等式; 反应式; 公式"
302,blue,blu:,"n. 蓝色
a. 蓝色的, 下流的, 忧郁的
vt. 染成蓝色
vi. 变蓝"
303,re,ri:,"prep. 关于
n. 不动产, 房地产
[计] 赖斯编码"
304,side,said,"n. 旁边, 侧, 方面, 胁, 侧边, 血统
a. 旁的, 侧的, 次要的
vt. 同意, 支持
vi. 支持, 赞助"
305,normal,'nɒ:ml,"n. 常态, 标准, 正常, 普通
a. 正常的, 正规的, 标准的, 师范的, 正态的
[计] 标准, 普通"
306,parameter,pә'ræmitә,"n. 参变数, 参变量, 参数, 参量
[计] 参量; 参数"
307,sample,'sæmpl,"n. 样品, 范例, 样本
vt. 抽样, 尝试
[计] 示例, 字样"
308,full,ful,"n. 全部, 完整
a. 充满的, 完全的, 丰富的, 完美的, 丰满的, 详尽的
adv. 完全地, 整整, 十分
vt. 把(衣服等)缝得宽松, 漂洗
[计] 完整"
309,dense,dens,"a. 密集的, 浓厚的"
310,note,nәut,"n. 笔记, 记录, 注解, 票据, 符号, 显要, 注重, 便笺, 照会
vt. 记录, 注解, 注意"
311,electromagnetic,ilektrәj'mæ^nitik,"a. 电磁的, 由电磁石产生的
[电] 电磁的"
312,available,ә'veilәbl,"a. 可利用的, 可获得的, 有效的
[医] 有效的, 可得的"
313,edge,edʒ,"n. 边缘, 尖锐, 刀刃, 优势
vt. 使锐利, 挤进, 镶边
vi. 缓缓移动"
314,ratio,'reiʃәu,"n. 比, 比率
[医] 比, 比率, 比例"
315,heating,'hi:tiŋ,"n. 加热, 供热, 暖气设备, 供暖系统, 暖气装置
a. 加热的, 供暖的"
316,found,faund,"vt. 建立, 创立, 铸造
find的过去式和过去分词"
317,resulting,ri'zʌltiŋ,"[计] 结果的, 合成的"
318,neutron,'nju:trɒn,"n. 中子
[化] 中子"
319,analysis,ә'nælәsis,"n. 分析
[计] 分析机; 分析员; 分析; 分析程序"
320,evolution,.i:vә'lu:ʃәn,"n. 进化, 发展, 进展, (气体)放出, 开方
[医] 进化, 演化, 旋出"
321,repetition,.repi'tiʃәn,"n. 重复, 背诵, 循环, 复制品, 副本
[机] 重复, 反复"
322,off,ɒf,"a. 关着的, 不再生效的, 处于...境况的, 休假的, 空闲的
adv. 走开, ...掉, ...下, 休息, 出发, 隔断
prep. 离开, 脱落, 不在从事......, 在...之外
vi. 离开, 滚开
vt. 杀死
n. 关闭状态
[计] 关闭, 清屏命令"
323,center,'sentә,"n. 中心, 中心点, 中锋
a. 中央的, 位在正中的
vt. 集中, 定中心
vi. 居中
[计] 居中; 中央"
324,many,'meni,"n. 多数, 多数人
a. 许多的
pron. 许多"
325,limit,'limit,"n. 界限, 边界, 限度, 极限, 限制
vt. 限制, 限定"
326,sub,sʌb,"n. 补充人员, 部下, 潜水艇, 胶层, 订户, 傻子
a. 附属的, 次级的
vt. 替代, 转包
vi. 替代
[计] 子程式, 用户, 代替, 减法器"
327,gain,gein,"n. 增益, 获得, 利润, 收获, 增加
vt. 得到, 增进, 赚到
vi. 获利, 增加
[计] 增益"
328,motion,'mәuʃәn,"n. 移动, 手势, 动作, 意向, 请求, 提议
v. 打手势"
329,below,bi'lәu,"prep. 在下面
adv. 在下面"
330,less,les,"n. 较少, 较小
a. 少的, 小的
adv. 较少, 较小, 较差
[计] 最低成本估算与调度法"
331,jet,dʒet,"n. 喷射流, 喷嘴, 煤玉
v. 射出, 迸出, 喷射
a. 黑而发亮的, 墨黑的"
332,pair,pєә,"n. 一双, 一对, 一副
v. (使)成对"
333,information,.infә'meiʃәn,"n. 消息, 知识, 通知, 情报, 信息, 问讯处, 起诉
[计] 信息"
334,terms,,"n. 条件, 条款, 费用, 价钱, 关系, 地位, 交谊
[经] 条件"
335,yield,ji:ld,"n. 生产量, 投资收益
vt. 出产, 给予, 让出, 放弃, 使屈服
vi. 出产, 屈服, 投降, 倒塌"
336,coherent,kәu'hiәrәnt,"a. 互相耦合的, 清晰的, 明了的，凝聚性的, 连贯的"
337,numerical,nju:'merikl,"a. 数字的, 数值的, 以数字表示的, 擅长于计数的
[经] 数字的, 用数字表示的"
338,dimensional,dai'menʃәnәl,"a. ...维的
[化] 量纲的; 因次的"
339,journal,'dʒә:nәl,"n. 日记, 杂志, 日报
[化] 轴颈"
340,top,tɒp,"n. 顶部, 顶端, 极点, 上面, 上部, 顶篷, 最高地位, 首位, 陀螺
a. 最高的, 顶上的, 头等的
vt. 盖, 加以顶, 高达, 超越
vi. 结束, 达到顶点, 高出
[计] TOP协议"
341,highly,'haili,"adv. 非常, 非常赞许地
[电] 大大地"
342,carbon,'kɑ:bәn,"n. 碳, 副本, 复写纸
[化] 碳"
343,institute,'institju:t,"n. 学会, 学院, 协会
vt. 创立, 开始, 制定, 任命"
344,comparison,kәm'pærisn,"n. 比较, 对照, 比喻
[经] 比较, 对比"
345,applied,ә'plaid,"a. 应用的
[机] 应用的; 应用, 申请"
346,mass,mæs,"n. 块, 大多数, 质量, 大量, 群众, 弥撒
a. 群众的, 大规模的, 整个的
vt. 使集合, 集中
vi. 聚集"
347,mode,mәud,"n. 模态, 调式, 样式, 文体, 状态, 方式, 风尚
[计] 方式; DOS外部命令:设定各种设备命令"
348,mechanism,'mekәnizm,"n. 机械, 机构, 结构, 机理, 技巧
[化] 机理; 历程; 机构"
349,constant,'kɒnstәnt,"n. 常数, 恒量
a. 不变的, 一定的, 时常的
[计] 常量; 常数; 恒值"
350,half,hɑ:f,"n. 一半, 半场, 不完全
a. 一半的, 不完全的, 部分的, 半场的
adv. 一半地, 部分地, 在某种程度上地, 几乎"
351,development,di'velәpmәnt,"n. 发展
[化] 展开"
352,extreme,ik'stri:m,"n. 极端, 末端
a. 极端的, 尽头的, 极度的, 偏激的"
353,longitudinal,.lɒndʒi'tju:dinәl,"a. 经度的, 经线的, 纵的
[医] 纵的"
354,ref,ref,"n. 裁判员
[计] 参考, 外部文件报告"
355,divergence,dai'vә:dʒәns,"n. 分歧
[计] 分散度"
356,delay,di'lei,"n. 耽搁, 迟滞
v. 耽搁, 延迟
[计] 延迟, 延时"
357,any,'eni,"a. 任何的
pron. 任何"
358,black,blæk,"n. 黑色, 黑颜料
a. 黑色的"
359,expected,,a. 预期的；预料的
360,water,'wɒ:tә,"n. 水, 雨水, 海水, 水位, 水面, 流水
vt. 给...浇水, 供以水, 注入水, 使湿
vi. 流泪, 流口水, 加水
a. 水的, 水上的, 水生的, 含水的"
361,central,'sentrәl,"a. 中央的, 重要的
[医] 中央的, 中心的, 中枢的"
362,national,'næʃәnәl,"a. 国家的, 国立的, 全国性的, 民族的
[经] 全国性的, 国家的, 国民的"
363,technology,tek'nɒlәdʒi,"n. 技术, 工业技术, 术语
[医] 技术学, 工艺学"
364,author,'ɒ:θә,"n. 作家, 作家的著作, 创始人
[法] 作者, 著作人, 本人"
365,pump,pʌmp,"n. 抽水机, 打气筒, 泵, 抽吸
vt. 用唧筒抽水, 打气, 盘问, 倾注, 使疲惫
vi. 抽水, 上下(或往复)运动"
366,window,'windәu,"n. 窗户, 窗子, 窗口
vt. 给...开窗
[计] 窗口"
367,double,'dʌbl,"n. 两倍
a. 两倍的, 双重的
vt. 使加倍
vi. 加倍, 代替, 快步走
[计] 双精度型"
368,technique,tek'ni:k,"n. 技巧, 技术, 方法
[化] 工艺方法; 技巧"
369,transition,træn'ziʃәn,"n. 转变, 转换, 变迁, 过渡时期, 临时转调
[化] 跃迁"
370,flux,flʌks,"n. 流出, 涨潮, 变迁
vi. 熔化, 流出
vt. 使熔融
[计] 助焊剂"
371,rear,riә,"n. 后面, 背后, 后方
a. 后面的, 背面的, 后方的
vt. 养育, 培养, 饲养, 举起, 树立, 栽种
vi. 高耸, 暴跳"
372,theory,'θiәri,"n. 理论, 学说, 原理, 意见, 推测
[化] 理论"
373,incidence,'insidәns,"n. 发生, 发生率, 影响, 负担者, 入射, 倾角
[医] 入射, 发生率, 发生数"
374,shape,ʃeip,"n. 形状, 形态, 外形, 形式, 身材
vt. 定形, 使成形, 塑造, 计划, 使符合
vi. 成形, 形成, 成长
[计] 形状"
375,produce,prә'dju:s,"n. 生产品, 物产, 后代
vt. 产生, 生产, 提出, 出示
vi. 生产, 制造"
376,approach,ә'prәutʃ,"n. 接近, 入门
vt. 接近, 近似, 找...商量
vi. 靠近"
377,those,ðәuz,pron. 那些
378,area,'єәriә,"n. 区域, 面积, 范围, 空地
[计] 区域"
379,addition,ә'diʃәn,"n. 加法, 增加的人(或物)
[计] 加法"
380,pro,prәu,"adv. 正面地
[计] 可编程远程操作"
381,key,ki:,"n. 钥匙, 键, 解答, 关键, 要害, 基调, 线索, 答案, 暗礁
vt. 调音, 锁上, 提供线索
vi. 使用钥匙
[计] 键, 密钥"
382,force,fɒ:s,"n. 力量, 武力, 势力, 影响力, 军队, 力, 效力
vt. 强迫, 强夺, 推动, 提高
[计] 人工转移; 强制"
383,online,,[计] 联机
384,controlled,kәn'trәuld,"a. 受约束的, 克制的
[法] 受管制的, 受控制的, 受管辖的"
385,direct,di'rekt,"a. 直接的, 坦白的
vt. 指示, 指挥, 命令, 导演
vi. 指导, 指挥
adv. 直接地"
386,paper,'peipә,"n. 纸, 文件, 文章, 报纸, 证券, 证件
vt. 用纸糊, 贴壁纸于, 用纸包装
vi. 贴壁纸
a. 纸做的, 纸上的"
387,expansion,ik'spænʃәn,"n. 扩充, 开展, 膨胀
[计] 扩展"
388,con,kɒn,"vt. 精读, 仔细研究, 默记
adv. 反面地, 从反面
a. 欺诈的
n. 反对者, 反对票, 肺结核
[计] 控制台"
389,required,ri'kwaiәd,a. 必需的
390,following,'fɒlәuiŋ,"n. 下列各项, 部下, 追随者
a. 下列的, 其次的"
391,theoretical,θiә'retikәl,"a. 理论的, 理论上的, 假设的, 推理的
[计] 理论的"
392,dependence,di'pendәns,"n. 依赖, 依存, 信赖
[医] 依赖(如对药物的依赖,即瘾或癖), 从属, 偏利共生"
393,provide,prә'vaid,"vt. 提供, 供应, 规定, 预备
vi. 作准备, 抚养, 规定"
394,obtain,әb'tein,"vt. 获得, 达到
vi. 流行, 得到公认"
395,magnitude,'mægnitju:d,"n. 巨大, 重大, 重要, 大小, 数量, 星等(指星的亮度)
[计] 大小; 值"
396,form,fɒ:m,"n. 形状, 形体, 类型, 方式, 表格, 形式
v. 形成, 排列, (使)组成
n. 表单
[计] 表单"
397,color,'kʌlә,"n. 颜色, 面色, 颜料, 外貌
vt. 把...涂上颜色, 粉饰, 使脸红, 歪曲
vi. 变色"
398,grating,'greitiŋ,"n. 光栅, 摩擦, 摩擦声
a. 令人气恼的, 刺耳的"
399,facility,fә'siliti,"n. 容易, 灵巧, 设备
[计] 设施; 设备; 装备"
400,enhanced,in'hɑ:nst. -'hænst,a. 增大的；加强的
401,increasing,in'kri:siŋ,[经] 递增
402,relative,'relәtiv,"n. 亲戚, 关系词
a. 有关系的, 相对的, 比较的"
403,significant,sig'nifikәnt,"a. 重要的, 有效的, 有含义的, 暗示的, 值得注意的"
404,plate,pleit,"n. 碟, 盘子, 盆中物, 金属板, 图版, 金银餐具, 印版, 金属牌(照)
vt. 镀金, 电镀, 用金属板固定, 给...装钢板, 为...制印版"
405,probe,prәub,"n. 探索, 调查, 探针, 探测器
v. 用探针探测, 调查, 探索"
406,China,'tʃainә,"n. 中国, 瓷器
a. 中国的"
407,efficient,i'fiʃәnt,"a. 有效率的, 能干的"
408,foam,fәum,"n. 泡沫, 水沫, 泡沫材料
vi. 起泡沫, 吐白沫
vt. 使起泡沫"
409,dose,dәus,"n. 剂量, 服用量
vt. 给药, (用药)医治
vi. 服药"
410,radius,'reidiәs,"n. 半径, 范围, 辐射光线
[电] 半径"
411,close,klәuz,"n. 结束, 完结
a. 靠近的, 亲近的, 亲密的, 严密的, 关闭的, 狭窄的, 秘密的
vt. 关, 结束, 使靠近, 封闭, 使接近
vi. 关闭, 结束, 靠近
adv. 接近地, 紧密地
[计] 关闭"
412,transmission,træns'miʃәn,"n. 传输, 传送, 变速器
[计] 传输"
413,effective,i'fektiv,"a. 有效的, 有力的, 实际的
n. 有生力量"
414,express,ik'spres,"n. 快车, 快递, 专使
a. 明确的, 丝毫不差的, 专门的, 快的
vt. 表达, 表示, 表露"
415,respect,ri'spekt,"n. 尊敬, 尊重, 问候
vt. 尊敬, 注意, 遵守"
416,still,stil,"n. 蒸馏室, 寂静, 剧照
v. 蒸馏, (使)平静, (使)静止
a. 静止的, 不动的, 静寂的, 不起泡的, 静物摄影的
adv. 仍然, 更, 静止地
conj. 然而, 但是"
417,determined,di'tә:mind,"a. 坚决的, 已下决心的"
418,reaction,ri'ækʃәn,"n. 反应, 反作用, 反动
[医] 反应"
419,loss,lɒs,"n. 损失, 遗失, 失败, 输, 错过, 伤亡
[化] 损失; 损耗"
420,typical,'tipikl,"a. 典型的, 象征性的
[医] 典型的"
421,including,,"prep. 包含, 包括
[经] 包括, 算入"
422,characterization,",kæriktәrai'zeiʃәn","n. 特性描述, 人物之塑造
[建] 特性因数"
423,stage,steidʒ,"n. 阶段, 舞台, 场所, 戏剧, 站, 驿站, 级, 层, 脚手架
vt. 上演, 表演, 筹划
vi. 适于上演, 乘驿车旅行"
424,far,fɑ:,"a. 远的, 久远的, 遥远的
adv. 甚远地, 很, 到很深的程度, 到很远的距离"
425,being,'bi:iŋ,"n. 存在, 性质, 生命, 人, 生物, be的现在分词"
426,reported,ri'pɔ:tid,a. 报告的；据报道的
427,enhancement,in'hɑ:nsmәnt,"n. 提高, 美化, 增进, 增强, 增加
[计] 增强, 加强, 提高, 充实"
428,shell,ʃel,"n. 贝壳, 壳, 外形, 炮弹
vt. 去壳, 脱落, 炮轰
vi. 剥落, 脱壳
[计] 外壳; DOS内部命令:指定命令行处理程序"
429,coupling,'kʌpliŋ,"n. 联结, 结合, 耦合
[计] 耦合"
430,crystal,'kristl,"n. 水晶, 水晶装饰品, 结晶
a. 水晶的, 水晶一样的, 透明的"
431,reduced,ri'dju:st,a. 减少的；简化的；缩减的
432,camera,'kæmәrә,"n. 照相机, 摄影机, 密谈室, 暗箱
[计] 摄影"
433,curve,kә:v,"n. 曲线, 弯曲, 曲线球
vt. 弯, 使弯曲
vi. 成曲形"
434,strength,streŋθ,"n. 力量, 实力, 强度, 浓度, 人数, 抵抗力
[化] 强度"
435,spread,spred,"n. 传播, 散布, 伸展
a. 双唇展开的, 伸展的
vt. 展开, 铺开, 传播, 推广, 伸出, 涂, 敷, 延伸
vi. 展开, 扩大, 传开, 延伸
[计] 展开"
436,various,'vєәriәs,"a. 不同的, 各种的, 多方面的, 许多的, 个别的, 杂色的
[法] 不同的, 种种的, 各式各样的"
437,agreement,ә'gri:mәnt,"n. 同意, 合约, 协议
[经] 契约, 协议, 协定"
438,reference,'refәrәns,"n. 参考, 索引, 参照
vt. 给...加上参考资料
vt. 引用
vi. 引用
[计] 引用"
439,right,rait,"n. 权利, 右边, 正义, 右派, 公正
a. 正确的, 对的, 恰当的, 正常的, 正直的, 正面的, 右方的
adv. 正确地, 以有利结果, 一直, 直接, 向右
vt. 扶直, 整理, 纠正, 伸冤, 使昭雪
vi. 恢复平衡
[计] 右, 权利"
440,background,'bækgraund,"n. 背景, 背景资料
[计] 背景, 后台"
441,increased,in'kri:st,a. 增强的（increase的过去分词）
442,design,di'zain,"n. 设计, 图样, 方案, 企图
v. 设计, 计划"
443,energetic,.enә'dʒetik,"a. 精力充沛的, 积极的"
444,green,gri:n,"n. 绿色, 绿色颜料
a. 绿色的, 未成熟的, 新鲜的, 青春的, 无经验的, 脸色发青的"
445,according,ә'kɒ:diŋ,"a. 相符的, 根据...而定的
adv. 相应地"
446,compact,kәm'pækt,"a. 紧凑的, 紧密的, 简洁的
vt. 使紧密结合, 压缩
vi. 变坚实"
447,forward,'fɒ:wәd,"a. 向前的, 早的, 迅速的, 在前的, 进步的
vt. 促进...的生长, 转寄, 运送
adv. 向前地
[计] 前推, 转信"
448,inside,'in'said,"n. 内部, 内脏, 内幕
a. 内部的, 秘密的, 户内的
adv. 在里面
prep. 在...之内"
449,dispersion,dis'pә:ʃәn,"n. 散布
[化] 分散; 分散作用; 分散体; 色散; 离差"
450,filter,'filtә,"n. 滤波器, 过滤器, 滤光器, 过滤嘴, 去尘器
vt. 过滤, 渗透, 走漏
vi. 滤过, 渗入
[计] 过滤器, 筛选"
451,quality,'kwɒlәti,"n. 品质, 特性, 才能, 质量
a. 优质的
[计] 品质"
452,significantly,,adv. 值得注目地；意味深长地
453,wake,weik,"vt. 叫醒, 激发
vi. 醒来, 醒着, 觉醒, 活跃起来
n. 守侯, 守夜, 尾迹, 痕迹"
454,simple,'simpl,"a. 简单的, 普通的, 朴素的, 单纯的, 绝对的, 初级的, 原始的, 迟钝的
n. 出身低微者, 傻子"
455,condition,kәn'diʃәn,"n. 情况, 条件
vt. 使健康, 以...为条件, 决定, 使适应
[计] 条件"
456,difference,'difәrәns,"n. 不同, 差异
[计] 差分"
